"","address","solddate","price","unitprice","beds","baths","area","lon","lat"
"1","2144 N 18th St",2017-04-21,"$320,000","$126","9","3","2,520","-75.1629","39.9868"
"2","5302 Walnut St",2017-04-21,"$145,000","--","3","1","--","-75.2285","39.9571"
"3","3712 N 19th St",2017-04-18,"$163,500","$65","6","2","2,500","-75.1592","40.01065"
"4","130 S 18th St UNIT 2502",2017-04-17,"$300,000","$135","3","3.5","2,210","-75.170604","39.950728"
"5","821 N Franklin St",2017-04-13,"$800,000","$248","6","--","3,216","-75.149675","39.965936"
"6","2414 W Thompson St",2017-04-13,"$100,000","$44","4","2","2,268","-75.17597","39.975225"
"7","2620 E Somerset St",2017-04-12,"$305,000","$113","6","3","2,698","-75.112821","39.98005"
"8","1815 N Willington St",2017-04-12,"$120,000","$125","2","1","960","-75.161324","39.981069"
"9","1829 N Willington St",2017-04-12,"$160,000","$166","3","1","960","-75.161248","39.981333"
"10","7561 Overbrook Ave",2017-04-11,"$175,000","$109","4","3","1,600","-75.270337","39.978259"
"11","1534 Fontain St",2017-04-11,"$170,000","$139","4","1","1,216","-75.15939","39.984298"
"12","3531 N 19th St",2017-04-11,"$12,000","$3","9","3","3,448","-75.159404","40.00798"
"13","1536 Fontain St",2017-04-11,"$170,000","$139","4","1","1,216","-75.159438","39.984304"
"14","2130 N Carlisle St",2017-04-11,"$175,000","$94","Studio","1","1,845","-75.157568","39.985614"
"15","1808 N Willington St",2017-04-11,"$120,000","$114","2","1","1,044","-75.161707","39.981153"
"16","1732 N Sydenham St",2017-04-11,"$300,000","$177","5","2","1,686","-75.160331","39.97998"
"17","1516 W Montgomery Ave",2017-04-11,"$345,000","$172","6","3","2,001","-75.160346","39.980419"
"18","1620 S 16th St",2017-04-11,"$295,000","$295","1","--","1,000","-75.171935","39.930407"
"19","1414 E Cheltenham Ave",2017-04-10,"$125,000","$91","--","--","1,368","-75.082356","40.030118"
"20","1812 W Montgomery Ave",NA,"$440,000","$320","4","2","1,800","-75.164405","39.980957"
"21","1320 S 8th St",2017-04-07,"$210,000","$175","3","1","1,198","-75.157928","39.932166"
"22","616 4th #1F",2017-04-05,"$1,400","$2","1","1","500","-75.149498","39.941182"
"23","1248 S 15th St",2017-04-05,"$299,500","$129","5","2","2,319","-75.169424","39.934659"
"24","4225 Otter St",2017-04-05,"$59,500","$28","5","2","2,052","-75.209472","39.971126"
"25","9455 Woodbridge Rd",2017-04-04,"$185,000","$85","4","2","2,160","-75.015474","40.066916"
"26","1324 Locust St APT 1131",2017-04-04,"$82,000","$203","Studio","1","403","-75.163619","39.94786"
"27","1835 N 33rd",2017-04-02,"$225,000","$80","6","4","2,790","-75.187473","39.985133"
"28","1145 S 11th St",2017-04-01,"$1,150","--","--","--","1,629","-75.161473","39.935936"
"29","3477 Indian Queen",2017-03-31,"$186,600","$78","4","4","2,370","-75.187935","40.010981"
"30","421 Pine St APT 2",2017-03-31,"$1.12M","--","2","1","--","-75.149681","39.94384"
"31","5226 Roosevelt Blvd",2017-03-31,"$120,000","$87","2","--","1,379","-75.089553","40.029781"
"32","1309 W. Chelten Ave",2017-03-30,"$170,000","$80","5","3","2,100","-75.140223","40.050445"
"33","220 Locust St APT 2C",2017-03-30,"$289,250","$413","1","1","700","-75.145011","39.944991"
"34","1438 67th Ave",2017-03-30,"$169,847","$101","5","3","1,680","-75.142295","40.05516"
"35","2501 S Broad St",2017-03-29,"$550,000","$144","Studio","--","3,800","-75.170457","39.919252"
"36","3323 Indian Queen Ln",2017-03-29,"$239,000","$162","Studio","--","1,474","-75.185081","40.013019"
"37","4579 Manayunk Ave.",2017-03-28,"$275,000","$156","4","2","1,760","-75.222011","40.03296"
"38","2503 S Broad St",2017-03-28,"$465,000","$168","Studio","--","2,753","-75.170467","39.919203"
"39","831 Bridge St",2017-03-28,"$69,500","$62","4","2","1,120","-75.093256","40.033167"
"40","5438 Walnut St",2017-03-28,"$135,000","$63","Studio","--","2,130","-75.231038","39.957262"
"41","1227 N 31st St",2017-03-24,"$190,000","$145","Studio","--","1,310","-75.186286","39.975791"
"42","5050 Germantown Ave",2017-03-23,"$52,500","$21","4","3","2,493","-75.165276","40.029812"
"43","1535 N Orkney St",2017-03-23,"$72,000","$70","3","3","1,620","-75.143356","39.974754"
"44","1822 W Diamond St",2017-03-22,"$315,000","$132","2","1","2,376","-75.163921","39.985468"
"45","1729 Fontain St",2017-03-22,"$240,000","$184","2","2","1,300","-75.162359","39.984978"
"46","568 Sentner St",2017-03-21,"$139,900","$70","6","2","1,992","-75.103653","40.041302"
"47","1433 W Girard Ave",2017-03-21,"$399,900","$106","Studio","--","3,756","-75.160869","39.971915"
"48","1913 N Gratz St",2017-03-20,"$380,000","$151","7","3","2,511","-75.164115","39.982974"
"49","4235 Otter St",2017-03-16,"$20,000","$9","5","3","2,052","-75.209865","39.971075"
"50","1718 Loney St",2017-03-16,"$247,000","$105","4","--","2,338","-75.061988","40.062881"
"51","3123 Comly Rd",2017-03-16,"$173,000","$90","2","--","1,920","-74.986083","40.091861"
"52","1708 Arthur St",2017-03-16,"$195,000","$139","2","3","1,402","-75.059332","40.066103"
"53","733 Melon Ter APT F",2017-03-15,"$143,500","$228","2","1","629","-75.150112","39.964015"
"54","2264 N Park Ave",2017-03-13,"$370,000","--","--","--","--","-75.154847","39.987638"
